,NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS.1,DESCR_TIPO_PESSOA,CONT_PESSOA,SEXO_PESSOA,IDADE_PESSOA,COR,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
11,1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.343.067.152,-4.650.265.044,GUARULHOS,R MARIA ELISA,5,C,Vitima,3,M,57.0,Parda,JARDINEIRO(A),1 Grau completo
12,1,2014,10105,DECAP,DEL.SEC.1 CENTRO,05 D.P. ACLIMACAO,DECAP,DEL.SEC.2 SUL,16 D.P. VILA CLEMENTINO,2014,1,01/01/2014,01:40,C,Roubo (art. 157),,TRANSEUNTE,-235.804.261,-4.663.987.763,S.PAULO,R DOMINGOS DE MORAIS,375,C,Vitima,1,F,34.0,Branca,AUXILIAR DE ENFERMAGEN,2 Grau completo
13,1,2014,10241,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,2014,1,02/01/2014,00:05,C,Roubo (art. 157),,VEICULO,-236.168.073,-4.675.730.325,S.PAULO,AV ANACE,0,C,Vitima,1,F,62.0,Branca,,2 Grau completo
14,1,2014,10243,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,2014,1,01/01/2014,01:00,C,Roubo (art. 157),,TRANSEUNTE,-2.366.132.217,-4.666.858.079,S.PAULO,R OLIVALDO VILA NOVA,100,C,Vitima,1,M,35.0,Branca,PEDREIRO,1 Grau completo
15,1,2014,10337,DECAP,DEL.SEC.4 NORTE,74 D.P. PARADA TAIPAS,DECAP,DEL.SEC.4 NORTE,74 D.P. PARADA TAIPAS,2014,1,01/01/2014,07:30,C,Roubo (art. 157),,OUTROS,-2.347.747.001,-4.670.393.933,S.PAULO,AV ELISIO TEIXEIRA LEITE,2000,C,Autor,2,M,,Preta,,
16,1,2014,10372,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,2014,1,01/01/2014,01:30,C,Roubo (art. 157),,VEICULO,-2.368.661.023,-466.832.949,S.PAULO,R JUARI,715,C,Vitima,1,M,64.0,Branca,COMERCIANTE,2 Grau completo
17,1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),,,-2.366.708.497,-4.648.195.744,S.PAULO,RUA ALVA,0,C,Condutor,1,M,33.0,,POLICIAL MILITAR,Superior completo
18,1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),,VEICULO,-2.354.489.564,-4.641.111.478,S.PAULO,R SATURNINO PEREIRA,0,C,Autor,3,M,,Outros,,
19,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Indiciado,2,M,18.0,Parda,DESEMPREGADO(A),1 Grau incompleto
20,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Adolescente infrator,4,M,17.0,Branca,,2 Grau completo
21,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Condutor,7,F,25.0,,POLICIAL MILITAR,Superior completo
22,1,2014,30110,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02 D.P. S.BERNARDO DO CAMPO,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02 D.P. S.BERNARDO DO CAMPO,2014,1,01/01/2014,04:15,C,Lesao corporal (art 129_9),,,-2.365.256.557,-4.656.724.493,S.BERNARDO DO CAMPO,R IDA LEONI CLETO,866,C,Vitima,1,F,45.0,Branca,AUXILIAR DE COZINHA,2 Grau incompleto
23,1,2014,30112,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,DEL.POL.S.CAETANO DO SUL,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,03 D.P. S.CAETANO DO SUL,2014,1,01/01/2014,01:00,C,Roubo (art. 157),,VEICULO,-2.360.893.362,-4.657.638.268,S.CAETANO DO SUL,R MAJOR CARLOS DEL PRETE,0,C,Autor,2,M,,,,
24,1,2014,10007,DIRD - DEPTO IDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,02 D.P. AEROP/TUR-CONGONHAS,DECAP,DEL.SEC.2 SUL,27 D.P. IBIRAPUERA,2014,1,02/01/2014,12:10,C,Furto (art. 155),,TRANSEUNTE,-2.365.293.119,-4.668.857.313,S.PAULO,AV WASHINGTON LUIS,0,C,Vitima,1,F,54.0,Branca,POLICIAL CIVIL,Superior completo
25,1,2014,10236,DECAP,DEL.SEC.2 SUL,36 D.P. VILA MARIANA,DECAP,DEL.SEC.1 CENTRO,78 D.P. JARDINS,2014,1,01/01/2014,01:00,C,Furto (art. 155),,TRANSEUNTE,-2.357.138.972,-4.664.431.182,S.PAULO,AV PAULISTA,0,C,Vitima,1,M,67.0,Branca,ADMINISTRADOR(A),Superior completo
26,1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),,,-2.366.708.497,-4.648.195.744,S.PAULO,RUA ALVA,0,C,Vitima,4,F,21.0,Branca,AUXILIAR DE COZINHA,1 Grau completo
27,1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),,VEICULO,-2.354.489.564,-4.641.111.478,S.PAULO,R SATURNINO PEREIRA,0,C,Autor,2,M,,Outros,,
28,1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.362.578.707,-4.650.102.724,S.ANDRE,R ORATORIO,0,C,Testemunha,4,M,40.0,Branca,POLICIAL MILITAR,2 Grau completo
29,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Adolescente infrator,6,M,16.0,Branca,DESEMPREGADO,1 Grau incompleto
30,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Vitima,9,M,38.0,Outros,PORTEIRO(A),2 Grau completo
31,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Adolescente infrator,6,M,16.0,Branca,DESEMPREGADO,1 Grau incompleto
32,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Curador,14,F,60.0,,APOSENTADO(A),
33,1,2014,30117,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.375.766.189,-4.645.477.045,RIBEIRAO PIRES,RODOVIA INDIO TIBIRICA,48950,C,Autor/Vitima,3,M,25.0,Branca,AJUDANTE GERAL,2 Grau completo
34,1,2014,30210,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,2014,1,01/01/2014,09:40,C,Lesao corporal (art. 129),,,-2.333.122.744,-4.659.235.965,MAIRIPORA,RUA LUIZ VAZ DE CAMOES,200,C,Vitima,3,M,41.0,Branca,POLICIAL,2 Grau completo
35,1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.343.067.152,-4.650.265.044,GUARULHOS,R MARIA ELISA,5,C,Autor,4,M,35.0,Branca,BALCONISTA,2 Grau completo
36,1,2014,10226,DECAP,DEL.SEC.2 SUL,26 D.P. SACOMA,DECAP,DEL.SEC.2 SUL,17 D.P. DOUTOR ALDO GALIANO,2014,1,01/01/2014,00:35,C,Roubo (art. 157),caput. Subtrair coisa movel alheia mediante grave ameaca ou violencia a pessoa,VEICULO,-2.359.182.117,-4.659.797.867,S.PAULO,R DAS JUNTAS PROVISORIAS,0,C,Autor,2,M,,Parda,,
37,1,2014,10226,DECAP,DEL.SEC.2 SUL,26 D.P. SACOMA,DECAP,DEL.SEC.2 SUL,17 D.P. DOUTOR ALDO GALIANO,2014,1,01/01/2014,00:35,C,Roubo (art. 157),caput. Subtrair coisa movel alheia mediante grave ameaca ou violencia a pessoa,VEICULO,-2.359.182.117,-4.659.797.867,S.PAULO,R DAS JUNTAS PROVISORIAS,0,C,Vitima,1,F,66.0,Branca,ADMINISTRADOR FINANCEIRO,2 Grau completo
38,1,2014,10241,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,2014,1,02/01/2014,00:05,C,Roubo (art. 157),,VEICULO,-236.168.073,-4.675.730.325,S.PAULO,AV ANACE,0,C,Autor,2,M,,Parda,,
39,1,2014,10243,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,2014,1,01/01/2014,01:00,C,Roubo (art. 157),,TRANSEUNTE,-2.366.132.217,-4.666.858.079,S.PAULO,R OLIVALDO VILA NOVA,100,C,Autor,2,M,,Branca,,
40,1,2014,10360,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,2014,1,02/01/2014,07:30,C,Roubo (art. 157),,VEICULO,-2.355.344.422,-4.647.752.342,S.PAULO,R CONDE DE AVILEZ,320,C,Vitima,1,F,34.0,Parda,SUPERVISOR(A),2 Grau completo
41,1,2014,10372,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,2014,1,01/01/2014,01:30,C,Roubo (art. 157),,VEICULO,-2.368.661.023,-466.832.949,S.PAULO,R JUARI,715,C,Vitima,2,F,56.0,Branca,,Superior completo
42,1,2014,10375,DECAP,DEL.SEC.6 SANTO AMARO,102 D.P. SOCORRO,DECAP,DEL.SEC.6 SANTO AMARO,102 D.P. SOCORRO,2014,1,01/01/2014,17:30,C,Roubo (art. 157),,TRANSEUNTE,-2.366.911.942,-4.672.126.248,S.PAULO,R CAMPO DA PATRIA,56,C,Autor,2,M,,Parda,,
43,1,2014,20119,DECAP,DEL.SEC.4 NORTE,19 D.P. VILA MARIA,DECAP,DEL.SEC.4 NORTE,19 D.P. VILA MARIA,2014,1,01/01/2014,03:20,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.PAULO,,,C,Vitima,1,M,57.0,Branca,EMPRESARIO(A),1 Grau completo
44,1,2014,20232,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,2014,1,02/01/2014,06:40,C,Roubo (art. 157),,TRANSEUNTE,-2.354.233.754,-4.645.112.064,S.PAULO,R FONTOURA XAVIER,1500,C,Vitima,1,F,35.0,Branca,ADMINISTRADOR(A),Superior completo
45,1,2014,20241,DECAP,DEL.SEC.8 SAO MATEUS,41 D.P. VILA RICA,DECAP,DEL.SEC.8 SAO MATEUS,41 D.P. VILA RICA,2014,1,01/01/2014,00:20,C,Roubo (art. 157),,TRANSEUNTE,-2.357.494.429,-4.650.553.988,S.PAULO,R ALTO DA CONCEICAO,486,C,Vitima,1,M,49.0,Branca,MOTORISTA,2 Grau completo
46,1,2014,20242,DECAP,DEL.SEC.5 LESTE,42 D.P. PARQUE S. LUCAS,DECAP,DEL.SEC.5 LESTE,42 D.P. PARQUE S. LUCAS,2014,1,01/01/2014,,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.PAULO,,,C,Vitima,1,M,70.0,Branca,APOSENTADO(A),2 Grau completo
47,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Curador,12,F,40.0,,,2 Grau completo
48,1,2014,10105,DECAP,DEL.SEC.1 CENTRO,05 D.P. ACLIMACAO,DECAP,DEL.SEC.2 SUL,16 D.P. VILA CLEMENTINO,2014,1,01/01/2014,01:40,C,Roubo (art. 157),,TRANSEUNTE,-235.804.261,-4.663.987.763,S.PAULO,R DOMINGOS DE MORAIS,375,C,Autor,2,M,,Preta,,
49,1,2014,10309,DECAP,DEL.SEC.8 SAO MATEUS,55 D.P. PARQUE S.RAFAEL,DECAP,DEL.SEC.8 SAO MATEUS,55 D.P. PARQUE S.RAFAEL,2014,1,01/01/2014,23:20,C,Roubo (art. 157),,VEICULO,-2.363.256.331,-4.647.103.697,S.PAULO,R JOAO MATEUS RENDON,322,C,Vitima,1,F,43.0,Branca,,2 Grau completo
50,1,2014,10357,DECAP,DEL.SEC.3 OESTE,91 D.P. CEASA,DECAP,DEL.SEC.1 CENTRO,04 D.P. CONSOLACAO,2014,1,01/01/2014,01:20,C,Lesao corporal (art. 129),,,-2.355.443.369,-4.665.450.265,S.PAULO,R FREI CANECA,750,C,Autor,2,F,22.0,Branca,,
51,1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),,,-2.366.708.497,-4.648.195.744,S.PAULO,RUA ALVA,0,C,Testemunha,2,M,46.0,,POLICIAL MILITAR,2 Grau completo
52,1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),,,-2.366.708.497,-4.648.195.744,S.PAULO,RUA ALVA,0,C,Testemunha,3,F,49.0,Branca,DOMESTICA,1 Grau incompleto
53,1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),,VEICULO,-2.354.489.564,-4.641.111.478,S.PAULO,R SATURNINO PEREIRA,0,C,Vitima,1,M,39.0,Parda,VIGILANTE,2 Grau completo
54,1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.362.578.707,-4.650.102.724,S.ANDRE,R ORATORIO,0,C,Autor,1,M,28.0,Parda,ENCARREGADO,1 Grau completo
55,1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.362.578.707,-4.650.102.724,S.ANDRE,R ORATORIO,0,C,Testemunha,5,M,20.0,Branca,AJUDANTE,1 Grau incompleto
56,1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),,,-2.362.578.707,-4.650.102.724,S.ANDRE,R ORATORIO,0,C,Vitima,2,F,22.0,Branca,VENDEDOR(A),2 Grau completo
57,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),,VEICULO,-2.369.004.592,-4.651.597.554,S.ANDRE,AV AUREA,785,C,Indiciado,1,M,20.0,Parda,DESEMPREGADO,2 Grau completo
58,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Vitima,10,M,39.0,Branca,ADVOGADO(A),Superior completo
59,1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),,RESIDENCIA,,,S.ANDRE,,,C,Vitima,11,M,61.0,Branca,ENGENHEIRO(A),Superior completo
60,1,2014,10357,DECAP,DEL.SEC.3 OESTE,91 D.P. CEASA,DECAP,DEL.SEC.1 CENTRO,04 D.P. CONSOLACAO,2014,1,01/01/2014,01:20,C,Lesao corporal (art. 129),,,-2.355.443.369,-4.665.450.265,S.PAULO,R FREI CANECA,750,C,Vitima,1,M,24.0,Branca,EDUCADOR,Superior completo
61,1,2014,10359,DECAP,DEL.SEC.5 LESTE,57 D.P. PARQUE DA MOOCA,DECAP,DEL.SEC.5 LESTE,29 D.P. VILA PRUDENTE,2014,1,01/01/2014,16:00,C,Furto (art. 155),,VEICULO,-2.355.953.217,-4.657.661.436,S.PAULO,AV SAPOPEMBA,225,C,Vitima,1,M,61.0,Branca,MOTORISTA,
62,1,2014,10360,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,2014,1,02/01/2014,07:30,C,Roubo (art. 157),,VEICULO,-2.355.344.422,-4.647.752.342,S.PAULO,R CONDE DE AVILEZ,320,C,Indiciado,3,M,,Preta,,
63,1,2014,20139,DECAP,DEL.SEC.4 NORTE,39 D.P. VILA GUSTAVO,DECAP,DEL.SEC.4 NORTE,40 D.P. VILA STA MARIA,2014,1,01/01/2014,01:20,C,Roubo (art. 157),,VEICULO,-2.347.616.076,-4.666.330.242,S.PAULO,AV JOAO MARCELINO BRANCO,0,C,Autor,2,M,23.0,Parda,,
64,1,2014,20218,DECAP,DEL.SEC.5 LESTE,18 D.P. ALTO DA MOOCA,DECAP,DEL.SEC.5 LESTE,57 D.P. PARQUE DA MOOCA,2014,1,02/01/2014,06:45,C,Furto (art. 155),,ESTABELECIMENTO-OUTROS,-2.357.732.023,-4.658.694.866,S.PAULO,R CEL JOVINIANO BRANDAO,462,C,Vitima,1,F,47.0,Branca,ADMINISTRADOR DE EMPRESAS,Superior completo
65,1,2014,20230,DECAP,DEL.SEC.5 LESTE,30 D.P. TATUAPE,DECAP,DEL.SEC.5 LESTE,30 D.P. TATUAPE,2014,1,01/01/2014,,C,Furto (art. 155),,RESIDENCIA,,,S.PAULO,,,C,Partes,2,M,49.0,,BANCARIO(A),Superior completo
66,1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),,,-2.366.708.497,-4.648.195.744,S.PAULO,RUA ALVA,0,C,Indiciado,5,M,21.0,Branca,DESEMPREGADO,1 Grau incompleto
67,1,2014,20232,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,2014,1,02/01/2014,06:40,C,Roubo (art. 157),,TRANSEUNTE,-2.354.233.754,-4.645.112.064,S.PAULO,R FONTOURA XAVIER,1500,C,Indiciado,2,M,0.0,Parda,,
