NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS,DESCR_TIPO_PESSOA,CONT_PESSOA,SEXO_PESSOA,IDADE_PESSOA,COR,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.43067152,-46.50265044,GUARULHOS,R MARIA ELISA,5,C,Condutor,1,M,32,NULL,POLICIAL MILITAR,2 Grau completo 
1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.43067152,-46.50265044,GUARULHOS,R MARIA ELISA,5,C,Vitima,3,M,57,Parda,JARDINEIRO(A),1 Grau completo 
1,2014,10105,DECAP,DEL.SEC.1 CENTRO,05 D.P. ACLIMACAO,DECAP,DEL.SEC.2 SUL,16 D.P. VILA CLEMENTINO,2014,1,01/01/2014,01:40,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.5804261,-46.63987763,S.PAULO,R DOMINGOS DE MORAIS,375,C,Vitima,1,F,34,Branca,AUXILIAR DE ENFERMAGEN,2 Grau completo 
1,2014,10241,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,2014,1,02/01/2014,00:05,C,Roubo (art. 157),NULL,VEICULO,-23.6168073,-46.75730325,S.PAULO,AV ANACE,0,C,Vitima,1,F,62,Branca,NULL,2 Grau completo 
1,2014,10243,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,2014,1,01/01/2014,01:00,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.66132217,-46.66858079,S.PAULO,R OLIVALDO VILA NOVA,100,C,Vitima,1,M,35,Branca,PEDREIRO,1 Grau completo 
1,2014,10337,DECAP,DEL.SEC.4 NORTE,74 D.P. PARADA TAIPAS,DECAP,DEL.SEC.4 NORTE,74 D.P. PARADA TAIPAS,2014,1,01/01/2014,07:30,C,Roubo (art. 157),NULL,OUTROS,-23.47747001,-46.70393933,S.PAULO,AV ELISIO TEIXEIRA LEITE,2000,C,Autor,2,M,NULL,Preta,NULL,NULL
1,2014,10372,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,2014,1,01/01/2014,01:30,C,Roubo (art. 157),NULL,VEICULO,-23.68661023,-46.6832949,S.PAULO,R JUARI,715,C,Vitima,1,M,64,Branca,COMERCIANTE,2 Grau completo 
1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),NULL,NULL,-23.66708497,-46.48195744,S.PAULO,RUA ALVA,0,C,Condutor,1,M,33,NULL,POLICIAL MILITAR,Superior completo
1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),NULL,VEICULO,-23.54489564,-46.41111478,S.PAULO,R SATURNINO PEREIRA,0,C,Autor,3,M,NULL,Outros,NULL,NULL
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Indiciado,2,M,18,Parda,DESEMPREGADO(A),1 Grau incompleto
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Adolescente infrator,4,M,17,Branca,NULL,2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Condutor,7,F,25,NULL,POLICIAL MILITAR,Superior completo
1,2014,30110,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02 D.P. S.BERNARDO DO CAMPO,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02 D.P. S.BERNARDO DO CAMPO,2014,1,01/01/2014,04:15,C,Lesao corporal (art 129_9),NULL,NULL,-23.65256557,-46.56724493,S.BERNARDO DO CAMPO,R IDA LEONI CLETO,866,C,Vitima,1,F,45,Branca,AUXILIAR DE COZINHA,2 Grau incompleto
1,2014,30112,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,DEL.POL.S.CAETANO DO SUL,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,03 D.P. S.CAETANO DO SUL,2014,1,01/01/2014,01:00,C,Roubo (art. 157),NULL,VEICULO,-23.60893362,-46.57638268,S.CAETANO DO SUL,R MAJOR CARLOS DEL PRETE,0,C,Autor,2,M,NULL,NULL,NULL,NULL
1,2014,10007,DIRD - DEPTO IDENT.REG.DIV,DIV.POL.PORTO/AERO/PROT.TURIS-DECADE,02 D.P. AEROP/TUR-CONGONHAS,DECAP,DEL.SEC.2 SUL,27 D.P. IBIRAPUERA,2014,1,02/01/2014,12:10,C,Furto (art. 155),NULL,TRANSEUNTE,-23.65293119,-46.68857313,S.PAULO,AV WASHINGTON LUIS,0,C,Vitima,1,F,54,Branca,POLICIAL CIVIL,Superior completo
1,2014,10236,DECAP,DEL.SEC.2 SUL,36 D.P. VILA MARIANA,DECAP,DEL.SEC.1 CENTRO,78 D.P. JARDINS,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,TRANSEUNTE,-23.57138972,-46.64431182,S.PAULO,AV PAULISTA,0,C,Vitima,1,M,67,Branca,ADMINISTRADOR(A),Superior completo
1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),NULL,NULL,-23.66708497,-46.48195744,S.PAULO,RUA ALVA,0,C,Vitima,4,F,21,Branca,AUXILIAR DE COZINHA,1 Grau completo 
1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),NULL,VEICULO,-23.54489564,-46.41111478,S.PAULO,R SATURNINO PEREIRA,0,C,Autor,2,M,NULL,Outros,NULL,NULL
1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.62578707,-46.50102724,S.ANDRE,R ORATORIO,0,C,Testemunha,4,M,40,Branca,POLICIAL MILITAR,2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Adolescente infrator,6,M,16,Branca,DESEMPREGADO,1 Grau incompleto
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Vitima,9,M,38,Outros,PORTEIRO(A),2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Adolescente infrator,6,M,16,Branca,DESEMPREGADO,1 Grau incompleto
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Curador,14,F,60,NULL,APOSENTADO(A),NULL
1,2014,30117,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,DEMACRO,DEL.SEC.SANTO ANDRE,DEL.POL.RIBEIRAO PIRES,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.75766189,-46.45477045,RIBEIRAO PIRES,RODOVIA INDIO TIBIRICA,48950,C,Autor/Vitima,3,M,25,Branca,AJUDANTE GERAL,2 Grau completo 
1,2014,30210,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,DEMACRO,DEL.SEC.FRANCO DA ROCHA,DEL.POL.MAIRIPORA,2014,1,01/01/2014,09:40,C,Lesao corporal (art. 129),NULL,NULL,-23.33122744,-46.59235965,MAIRIPORA,RUA LUIZ VAZ DE CAMOES,200,C,Vitima,3,M,41,Branca,POLICIAL,2 Grau completo 
1,2014,30217,DEMACRO,DEL.SEC.GUARULHOS,07 D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,09 D.P. GUARULHOS,2014,1,01/01/2014,00:12,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.43067152,-46.50265044,GUARULHOS,R MARIA ELISA,5,C,Autor,4,M,35,Branca,BALCONISTA,2 Grau completo 
1,2014,10226,DECAP,DEL.SEC.2 SUL,26 D.P. SACOMA,DECAP,DEL.SEC.2 SUL,17 D.P. DOUTOR ALDO GALIANO,2014,1,01/01/2014,00:35,C,Roubo (art. 157),caput. Subtrair coisa movel alheia mediante grave ameaca ou violencia a pessoa,VEICULO,-23.59182117,-46.59797867,S.PAULO,R DAS JUNTAS PROVISORIAS,0,C,Autor,2,M,NULL,Parda,NULL,NULL
1,2014,10226,DECAP,DEL.SEC.2 SUL,26 D.P. SACOMA,DECAP,DEL.SEC.2 SUL,17 D.P. DOUTOR ALDO GALIANO,2014,1,01/01/2014,00:35,C,Roubo (art. 157),caput. Subtrair coisa movel alheia mediante grave ameaca ou violencia a pessoa,VEICULO,-23.59182117,-46.59797867,S.PAULO,R DAS JUNTAS PROVISORIAS,0,C,Vitima,1,F,66,Branca,ADMINISTRADOR FINANCEIRO,2 Grau completo 
1,2014,10241,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,DECAP,DEL.SEC.3 OESTE,37 D.P. CAMPO LIMPO,2014,1,02/01/2014,00:05,C,Roubo (art. 157),NULL,VEICULO,-23.6168073,-46.75730325,S.PAULO,AV ANACE,0,C,Autor,2,M,NULL,Parda,NULL,NULL
1,2014,10243,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,DECAP,DEL.SEC.6 SANTO AMARO,43 D.P. CIDADE ADEMAR,2014,1,01/01/2014,01:00,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.66132217,-46.66858079,S.PAULO,R OLIVALDO VILA NOVA,100,C,Autor,2,M,NULL,Branca,NULL,NULL
1,2014,10360,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,2014,1,02/01/2014,07:30,C,Roubo (art. 157),NULL,VEICULO,-23.55344422,-46.47752342,S.PAULO,R CONDE DE AVILEZ,320,C,Vitima,1,F,34,Parda,SUPERVISOR(A),2 Grau completo 
1,2014,10372,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,DECAP,DEL.SEC.6 SANTO AMARO,99 D.P. CAMPO GRANDE,2014,1,01/01/2014,01:30,C,Roubo (art. 157),NULL,VEICULO,-23.68661023,-46.6832949,S.PAULO,R JUARI,715,C,Vitima,2,F,56,Branca,NULL,Superior completo
1,2014,10375,DECAP,DEL.SEC.6 SANTO AMARO,102 D.P. SOCORRO,DECAP,DEL.SEC.6 SANTO AMARO,102 D.P. SOCORRO,2014,1,01/01/2014,17:30,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.66911942,-46.72126248,S.PAULO,R CAMPO DA PATRIA,56,C,Autor,2,M,NULL,Parda,NULL,NULL
1,2014,20119,DECAP,DEL.SEC.4 NORTE,19 D.P. VILA MARIA,DECAP,DEL.SEC.4 NORTE,19 D.P. VILA MARIA,2014,1,01/01/2014,03:20,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.PAULO,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Vitima,1,M,57,Branca,EMPRESARIO(A),1 Grau completo 
1,2014,20232,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,DECAP,DEL.SEC.7 ITAQUERA,32 D.P. ITAQUERA,2014,1,02/01/2014,06:40,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.54233754,-46.45112064,S.PAULO,R FONTOURA XAVIER,1500,C,Vitima,1,F,35,Branca,ADMINISTRADOR(A),Superior completo
1,2014,20241,DECAP,DEL.SEC.8 SAO MATEUS,41 D.P. VILA RICA,DECAP,DEL.SEC.8 SAO MATEUS,41 D.P. VILA RICA,2014,1,01/01/2014,00:20,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.57494429,-46.50553988,S.PAULO,R ALTO DA CONCEICAO,486,C,Vitima,1,M,49,Branca,MOTORISTA,2 Grau completo 
1,2014,20242,DECAP,DEL.SEC.5 LESTE,42 D.P. PARQUE S. LUCAS,DECAP,DEL.SEC.5 LESTE,42 D.P. PARQUE S. LUCAS,2014,1,01/01/2014,NULL,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.PAULO,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Vitima,1,M,70,Branca,APOSENTADO(A),2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Curador,12,F,40,NULL,NULL,2 Grau completo 
1,2014,10105,DECAP,DEL.SEC.1 CENTRO,05 D.P. ACLIMACAO,DECAP,DEL.SEC.2 SUL,16 D.P. VILA CLEMENTINO,2014,1,01/01/2014,01:40,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.5804261,-46.63987763,S.PAULO,R DOMINGOS DE MORAIS,375,C,Autor,2,M,NULL,Preta,NULL,NULL
1,2014,10309,DECAP,DEL.SEC.8 SAO MATEUS,55 D.P. PARQUE S.RAFAEL,DECAP,DEL.SEC.8 SAO MATEUS,55 D.P. PARQUE S.RAFAEL,2014,1,01/01/2014,23:20,C,Roubo (art. 157),NULL,VEICULO,-23.63256331,-46.47103697,S.PAULO,R JOAO MATEUS RENDON,322,C,Vitima,1,F,43,Branca,NULL,2 Grau completo 
1,2014,10357,DECAP,DEL.SEC.3 OESTE,91 D.P. CEASA,DECAP,DEL.SEC.1 CENTRO,04 D.P. CONSOLACAO,2014,1,01/01/2014,01:20,C,Lesao corporal (art. 129),NULL,NULL,-23.55443369,-46.65450265,S.PAULO,R FREI CANECA,750,C,Autor,2,F,22,Branca,NULL,NULL
1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),NULL,NULL,-23.66708497,-46.48195744,S.PAULO,RUA ALVA,0,C,Testemunha,2,M,46,NULL,POLICIAL MILITAR,2 Grau completo 
1,2014,20231,DECAP,DEL.SEC.5 LESTE,31 D.P. VILA CARRAO,DECAP,DEL.SEC.5 LESTE,58 D.P. VILA FORMOSA,2014,1,01/01/2014,03:10,C,Lesao corporal (art 129_9),NULL,NULL,-23.66708497,-46.48195744,S.PAULO,RUA ALVA,0,C,Testemunha,3,F,49,Branca,DOMESTICA,1 Grau incompleto
1,2014,20244,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,DECAP,DEL.SEC.8 SAO MATEUS,44 D.P. GUAIANAZES,2014,1,01/01/2014,00:40,C,Roubo (art. 157),NULL,VEICULO,-23.54489564,-46.41111478,S.PAULO,R SATURNINO PEREIRA,0,C,Vitima,1,M,39,Parda,VIGILANTE,2 Grau completo 
1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.62578707,-46.50102724,S.ANDRE,R ORATORIO,0,C,Autor,1,M,28,Parda,ENCARREGADO,1 Grau completo 
1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.62578707,-46.50102724,S.ANDRE,R ORATORIO,0,C,Testemunha,5,M,20,Branca,AJUDANTE,1 Grau incompleto
1,2014,30103,DEMACRO,DEL.SEC.SANTO ANDRE,02 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,05 D.P. SANTO ANDRE,2014,1,01/01/2014,00:50,C,Lesao corporal culposa na direcao de veiculo automotor (Art. 303),NULL,NULL,-23.62578707,-46.50102724,S.ANDRE,R ORATORIO,0,C,Vitima,2,F,22,Branca,VENDEDOR(A),2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto (art. 155),NULL,VEICULO,-23.69004592,-46.51597554,S.ANDRE,AV AUREA,785,C,Indiciado,1,M,20,Parda,DESEMPREGADO,2 Grau completo 
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Vitima,10,M,39,Branca,ADVOGADO(A),Superior completo
1,2014,30105,DEMACRO,DEL.SEC.SANTO ANDRE,04 D.P. SANTO ANDRE,DEMACRO,DEL.SEC.SANTO ANDRE,06 D.P. SANTO ANDRE,2014,1,01/01/2014,01:00,C,Furto qualificado (art. 155 4o.),NULL,RESIDENCIA,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),S.ANDRE,Informacao restrita (art. 31 da LAI),Informacao restrita (art. 31 da LAI),C,Vitima,11,M,61,Branca,ENGENHEIRO(A),Superior completo
1,2014,10357,DECAP,DEL.SEC.3 OESTE,91 D.P. CEASA,DECAP,DEL.SEC.1 CENTRO,04 D.P. CONSOLACAO,2014,1,01/01/2014,01:20,C,Lesao corporal (art. 129),NULL,NULL,-23.55443369,-46.65450265,S.PAULO,R FREI CANECA,750,C,Vitima,1,M,24,Branca,EDUCADOR,Superior completo
1,2014,10359,DECAP,DEL.SEC.5 LESTE,57 D.P. PARQUE DA MOOCA,DECAP,DEL.SEC.5 LESTE,29 D.P. VILA PRUDENTE,2014,1,01/01/2014,16:00,C,Furto (art. 155),NULL,VEICULO,-23.55953217,-46.57661436,S.PAULO,AV SAPOPEMBA,225,C,Vitima,1,M,61,Branca,MOTORISTA,NULL
1,2014,10360,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,DECAP,DEL.SEC.7 ITAQUERA,65 D.P. ARTUR ALVIM,2014,1,02/01/2014,07:30,C,Roubo (art. 157),NULL,VEICULO,-23.55344422,-46.47752342,S.PAULO,R CONDE DE AVILEZ,320,C,Indiciado,3,M,NULL,Preta,NULL,NULL
1,2014,20139,DECAP,DEL.SEC.4 NORTE,39 D.P. VILA GUSTAVO,DECAP,DEL.SEC.4 NORTE,40 D.P. VILA STA MARIA,2014,1,01/01/2014,01:20,C,Roubo (art. 157),NULL,VEICULO,-23.47616076,-46.66330242,S.PAULO,AV JOAO MARCELINO BRANCO,0,C,Autor,2,M,23,Parda,NULL,NULL
